Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Alberta (00048)   20000,  Male,    Germanic languages,55525,52700,0,2035,790
Alberta (00048)   20000,  Male,      German,39480,37610,0,1135,735
Alberta (00048)   20000,  Male,      Yiddish,195,175,0,10,10
Alberta (00048)   20000,  Male,      Netherlandic languages,11010,10215,0,765,30
Alberta (00048)   20000,  Male,        Dutch,10560,9845,0,685,30
Alberta (00048)   20000,  Male,        Flemish,220,155,0,70,0
Alberta (00048)   20000,  Male,        Frisian,230,210,0,15,0
Alberta (00048)   20000,  Male,      Scandinavian languages,4710,4600,0,95,20
Alberta (00048)   20000,  Male,        Danish,2395,2355,0,35,10
Alberta (00048)   20000,  Male,        Icelandic,95,100,0,0,0
Alberta (00048)   20000,  Male,        Norwegian,1315,1280,0,35,0
Alberta (00048)   20000,  Male,        Swedish,910,870,0,25,10
Alberta (00048)   20000,  Male,"      Germanic languages, n.i.e.",125,100,0,25,0
Alberta (00048)   20000,  Male,    Celtic languages,230,205,0,25,0
Alberta (00048)   20000,  Male,      Gaelic languages,110,90,0,15,0
Alberta (00048)   20000,  Male,      Welsh,120,115,0,0,0
Alberta (00048)   20000,  Male,"      Celtic languages, n.i.e.",0,0,0,0,0
Alberta (00048)   20000,  Male,    Slavic languages,37970,35820,0,1265,880
Alberta (00048)   20000,  Male,      Bulgarian,120,120,0,0,0
Alberta (00048)   20000,  Male,      Byelorussian,10,15,0,0,0
Alberta (00048)   20000,  Male,      Croatian,1165,1085,0,70,10
Alberta (00048)   20000,  Male,      Czech,1935,1800,0,105,25
Alberta (00048)   20000,  Male,      Macedonian,10,10,0,0,0
Alberta (00048)   20000,  Male,      Polish,9885,8825,0,535,525
Alberta (00048)   20000,  Male,      Russian,1570,1435,0,50,80
Alberta (00048)   20000,  Male,      Serbian,175,165,0,10,0
Alberta (00048)   20000,  Male,      Serbo-Croatian,165,155,0,10,10
Alberta (00048)   20000,  Male,      Slovak,740,720,0,25,0
Alberta (00048)   20000,  Male,      Slovenian,240,240,0,0,0
Alberta (00048)   20000,  Male,      Ukrainian,20640,20015,0,410,210
Alberta (00048)   20000,  Male,"      Slavic languages, n.i.e.",1295,1235,0,45,25
Alberta (00048)   20000,  Male,    Baltic languages,420,380,0,40,0
Alberta (00048)   20000,  Male,      Latvian (Lettish),190,170,0,25,0
Alberta (00048)   20000,  Male,      Lithuanian,235,215,0,20,0
Alberta (00048)   20000,  Male,    Finno-Ugric languages,4825,4560,10,140,120
Alberta (00048)   20000,  Male,      Estonian,145,140,0,0,0
Alberta (00048)   20000,  Male,      Finnish,565,550,0,10,10
Alberta (00048)   20000,  Male,      Hungarian,4115,3870,0,125,115
Alberta (00048)   20000,  Male,    Greek,1535,1430,0,95,15
Alberta (00048)   20000,  Male,    Armenian,130,90,0,30,10
Alberta (00048)   20000,  Male,    Turkic languages,370,300,0,60,10
Alberta (00048)   20000,  Male,      Turkish,360,290,0,55,0
Alberta (00048)   20000,  Male,"      Turkic languages, n.i.e.",10,10,0,0,0
Alberta (00048)   20000,  Male,    Semitic languages,6065,5220,20,550,270
Alberta (00048)   20000,  Male,      Amharic,-,-,-,-,-
Alberta (00048)   20000,  Male,      Arabic,5130,4365,20,495,255
Alberta (00048)   20000,  Male,      Hebrew,205,180,0,30,0
Alberta (00048)   20000,  Male,      Maltese,40,30,0,0,0
Alberta (00048)   20000,  Male,      Somali,-,-,-,-,-
Alberta (00048)   20000,  Male,      Tingringa,-,-,-,-,-
Alberta (00048)   20000,  Male,"      Semitic languages, n.i.e.",690,650,0,25,15
Alberta (00048)   20000,  Male,    Indo-Iranian languages,15040,13510,0,575,950
Alberta (00048)   20000,  Male,      Bengali,330,305,0,20,0
Alberta (00048)   20000,  Male,      Gujarati,2700,2425,0,120,145
Alberta (00048)   20000,  Male,      Hindi,2155,2035,0,60,55
Alberta (00048)   20000,  Male,      Konkani,-,-,-,-,-
Alberta (00048)   20000,  Male,      Kurdish,75,65,0,0,10
Alberta (00048)   20000,  Male,      Marathi,55,55,0,0,0
Alberta (00048)   20000,  Male,      Pashto,15,20,0,0,0
Alberta (00048)   20000,  Male,      Persian (Farsi),965,875,0,40,50
Alberta (00048)   20000,  Male,      Punjabi,6325,5570,0,160,600
Alberta (00048)   20000,  Male,      Sindhi,-,-,-,-,-
Alberta (00048)   20000,  Male,      Sinhalese,200,185,0,15,10
Alberta (00048)   20000,  Male,      Urdu,1325,1240,0,40,40
Alberta (00048)   20000,  Male,"      Indo-Iranian languages, n.i.e.",895,730,0,120,45
Alberta (00048)   20000,  Male,    Dravidian languages,835,800,0,25,15
