Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Canada (00000)   20000,  Male,"      Germanic languages, n.i.e.",835,630,35,170,10
Canada (00000)   20000,  Male,    Celtic languages,2305,1990,40,275,0
Canada (00000)   20000,  Male,      Gaelic languages,1345,1220,0,120,10
Canada (00000)   20000,  Male,      Welsh,870,745,0,130,0
Canada (00000)   20000,  Male,"      Celtic languages, n.i.e.",85,25,35,25,0
Canada (00000)   20000,  Male,    Slavic languages,279860,245730,1765,22010,10350
Canada (00000)   20000,  Male,      Bulgarian,2410,1745,110,355,205
Canada (00000)   20000,  Male,      Byelorussian,230,205,0,15,10
Canada (00000)   20000,  Male,      Croatian,20485,18660,30,1135,655
Canada (00000)   20000,  Male,      Czech,14220,12105,95,1780,235
Canada (00000)   20000,  Male,      Macedonian,7820,7250,0,230,340
Canada (00000)   20000,  Male,      Polish,93545,77520,1115,8880,6030
Canada (00000)   20000,  Male,      Russian,16225,13705,110,1535,875
Canada (00000)   20000,  Male,      Serbian,5855,5150,20,455,230
Canada (00000)   20000,  Male,      Serbo-Croatian,2680,2090,80,435,75
Canada (00000)   20000,  Male,      Slovak,8835,7710,90,920,125
Canada (00000)   20000,  Male,      Slovenian,4700,4305,10,355,35
Canada (00000)   20000,  Male,      Ukrainian,88125,82175,55,4710,1175
Canada (00000)   20000,  Male,"      Slavic languages, n.i.e.",14720,13105,55,1205,365
Canada (00000)   20000,  Male,    Baltic languages,10335,9090,10,1130,105
Canada (00000)   20000,  Male,      Latvian (Lettish),4870,4385,10,450,30
Canada (00000)   20000,  Male,      Lithuanian,5465,4705,10,685,70
Canada (00000)   20000,  Male,    Finno-Ugric languages,58360,51465,260,5465,1165
Canada (00000)   20000,  Male,      Estonian,5440,4920,0,425,100
Canada (00000)   20000,  Male,      Finnish,12285,11675,0,410,200
Canada (00000)   20000,  Male,      Hungarian,40630,34870,260,4635,870
Canada (00000)   20000,  Male,    Greek,65275,45770,460,14900,4145
Canada (00000)   20000,  Male,    Armenian,13010,5230,655,6205,920
Canada (00000)   20000,  Male,    Turkic languages,5215,3750,280,765,425
Canada (00000)   20000,  Male,      Turkish,5095,3655,275,740,420
Canada (00000)   20000,  Male,"      Turkic languages, n.i.e.",125,90,0,20,10
Canada (00000)   20000,  Male,    Semitic languages,84715,47880,6785,25595,4450
Canada (00000)   20000,  Male,      Amharic,-,-,-,-,-
Canada (00000)   20000,  Male,      Arabic,61340,28845,6255,22715,3520
Canada (00000)   20000,  Male,      Hebrew,6370,4530,70,1680,90
Canada (00000)   20000,  Male,      Maltese,4400,4310,0,90,0
Canada (00000)   20000,  Male,      Somali,-,-,-,-,-
Canada (00000)   20000,  Male,      Tingringa,-,-,-,-,-
Canada (00000)   20000,  Male,"      Semitic languages, n.i.e.",12595,10190,455,1115,840
