Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Manitoba (00046)   20000,Total - Sex,        Swahili,20,10,0,0,0
Manitoba (00046)   20000,Total - Sex,"        Bantu languages, n.i.e.",160,155,0,0,0
Manitoba (00046)   20000,Total - Sex,      Twi,-,-,-,-,-
Manitoba (00046)   20000,Total - Sex,"      Niger-Congo languages, n.i.e.",125,120,0,0,0
Manitoba (00046)   20000,Total - Sex,"    African languages, n.i.e.",95,85,0,0,10
Manitoba (00046)   20000,Total - Sex,    Creoles,45,20,0,20,0
Manitoba (00046)   20000,Total - Sex,    Other languages,295,170,0,10,120
Manitoba (00046)   20000,Total - Sex,Multiple responses,18535,15560,10,2835,135
Manitoba (00046)   20000,Total - Sex,  English and French,2955,745,0,2200,0
Manitoba (00046)   20000,Total - Sex,  English and non-official language,15200,14620,0,445,130
Manitoba (00046)   20000,Total - Sex,  French and non-official language,260,130,0,125,0
Manitoba (00046)   20000,Total - Sex,"  English, French and non-official language",125,65,0,55,0
Manitoba (00046)   20000,  Male,Total - Detailed Mother Tongue,533710,481370,800,45745,5795
Manitoba (00046)   20000,  Male,Single responses,524620,473700,795,44375,5745
Manitoba (00046)   20000,  Male,  English,390075,369980,10,19945,145
Manitoba (00046)   20000,  Male,  French,23705,1365,775,21560,10
Manitoba (00046)   20000,  Male,  Non-official languages,110840,102350,20,2875,5595
Manitoba (00046)   20000,  Male,    Aboriginal languages,15430,13790,0,80,1555
Manitoba (00046)   20000,  Male,      Algonquian languages,14655,13075,0,70,1510
Manitoba (00046)   20000,  Male,        Algonquin,-,-,-,-,-
Manitoba (00046)   20000,  Male,        Attikamek,-,-,-,-,-
Manitoba (00046)   20000,  Male,        Blackfoot,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Cree,10610,9265,0,35,1310
Manitoba (00046)   20000,  Male,        Malecite,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Micmac,10,0,0,0,10
Manitoba (00046)   20000,  Male,        Montagnais-Naskapi,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Ojibway,4035,3805,0,35,190
Manitoba (00046)   20000,  Male,        Oji-Cree,-,-,-,-,-
Manitoba (00046)   20000,  Male,"        Algonquian languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,      Athapaskan languages,340,290,0,0,45
Manitoba (00046)   20000,  Male,        Carrier,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Chilcotin,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Chipewyan,0,10,0,0,0
Manitoba (00046)   20000,  Male,        Dene,-,-,-,-,-
Manitoba (00046)   20000,  Male,        Dogrib,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Manitoba (00046)   20000,  Male,        North Slave (Hare),0,0,0,0,0
Manitoba (00046)   20000,  Male,        South Slave,0,0,0,0,0
Manitoba (00046)   20000,  Male,"        Athapaskan languages, n.i.e.",330,285,0,0,45
Manitoba (00046)   20000,  Male,      Haida,0,0,0,0,0
Manitoba (00046)   20000,  Male,      Iroquoian languages,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Mohawk,10,0,0,0,0
Manitoba (00046)   20000,  Male,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,      Kutenai,0,0,0,0,0
Manitoba (00046)   20000,  Male,      Salish languages,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Shuswap,-,-,-,-,-
Manitoba (00046)   20000,  Male,        Thompson (Ntlakapamux),-,-,-,-,-
Manitoba (00046)   20000,  Male,"        Salish languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,      Siouan languages,335,335,0,0,0
Manitoba (00046)   20000,  Male,        Dakota/Sioux,335,335,0,0,0
Manitoba (00046)   20000,  Male,      Tlingit,0,0,0,0,0
Manitoba (00046)   20000,  Male,      Tsimshian languages,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Tsimshian,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Gitksan,-,-,-,-,-
Manitoba (00046)   20000,  Male,        Nishga,-,-,-,-,-
Manitoba (00046)   20000,  Male,      Wakashan languages,0,0,0,0,0
Manitoba (00046)   20000,  Male,        Nootka,-,-,-,-,-
Manitoba (00046)   20000,  Male,"        Wakashan languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,      Inuktitut (Eskimo),50,45,0,0,0
Manitoba (00046)   20000,  Male,"      Aboriginal languages, n.i.e.",50,45,0,0,0
Manitoba (00046)   20000,  Male,    Romance languages,9140,7735,10,640,750
Manitoba (00046)   20000,  Male,      Italian,2740,2465,0,190,80
Manitoba (00046)   20000,  Male,      Portuguese,3805,3130,0,295,370
Manitoba (00046)   20000,  Male,      Romanian,315,255,0,45,10
Manitoba (00046)   20000,  Male,      Spanish,2280,1885,0,110,285
Manitoba (00046)   20000,  Male,"      Romance languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,    Germanic languages,38065,36480,0,740,840
Manitoba (00046)   20000,  Male,      German,32625,31310,0,480,840
Manitoba (00046)   20000,  Male,      Yiddish,785,750,0,35,0
Manitoba (00046)   20000,  Male,      Netherlandic languages,2970,2750,0,215,0
Manitoba (00046)   20000,  Male,        Dutch,2525,2400,0,125,0
Manitoba (00046)   20000,  Male,        Flemish,410,325,0,85,0
Manitoba (00046)   20000,  Male,        Frisian,30,25,0,10,0
Manitoba (00046)   20000,  Male,      Scandinavian languages,1650,1640,0,10,0
Manitoba (00046)   20000,  Male,        Danish,355,355,0,0,0
Manitoba (00046)   20000,  Male,        Icelandic,785,785,0,0,0
Manitoba (00046)   20000,  Male,        Norwegian,225,220,0,10,0
Manitoba (00046)   20000,  Male,        Swedish,280,275,0,0,0
Manitoba (00046)   20000,  Male,"      Germanic languages, n.i.e.",40,30,0,0,10
Manitoba (00046)   20000,  Male,    Celtic languages,75,75,0,0,0
Manitoba (00046)   20000,  Male,      Gaelic languages,45,40,0,0,0
Manitoba (00046)   20000,  Male,      Welsh,30,30,0,0,0
Manitoba (00046)   20000,  Male,"      Celtic languages, n.i.e.",0,0,0,0,0
Manitoba (00046)   20000,  Male,    Slavic languages,25520,24315,0,665,540
Manitoba (00046)   20000,  Male,      Bulgarian,25,20,0,0,0
Manitoba (00046)   20000,  Male,      Byelorussian,30,30,0,0,0
Manitoba (00046)   20000,  Male,      Croatian,405,390,0,15,0
Manitoba (00046)   20000,  Male,      Czech,650,600,0,35,15
