GEO_NAME,GEO_CODE (POR),DIM: Sex (3),DIM: Mother tongue (269),Dim: Knowledge of official languages (5): Member ID: [1]: Total - Knowledge of official languages,Dim: Knowledge of official languages (5): Member ID: [2]: English only,Dim: Knowledge of official languages (5): Member ID: [3]: French only,Dim: Knowledge of official languages (5): Member ID: [4]: English and French,Dim: Knowledge of official languages (5): Member ID: [5]: Neither English nor French
Canada,1,Total - Sex,American Sign Language,2680,1815,5,105,760
Canada,1,Total - Sex,Quebec Sign Language,695,5,385,130,180
Canada,1,Total - Sex,"Sign languages, n.i.e",4120,1475,180,135,2330
Canada,1,Total - Sex,Sino-Tibetan languages,1269215,957070,8165,58310,245670
Canada,1,Total - Sex,Chinese languages,1253360,943830,8115,57995,243420
Canada,1,Total - Sex,Cantonese,565270,419535,2115,22510,121105
Canada,1,Total - Sex,Hakka,10910,8630,70,575,1635
Canada,1,Total - Sex,Mandarin,592040,452490,4740,30230,104575
Canada,1,Total - Sex,Min Dong,1235,645,0,20,565
Canada,1,Total - Sex,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",31800,22740,595,2095,6370
Canada,1,Total - Sex,Wu (Shanghainese),12920,8925,80,630,3285
Canada,1,Total - Sex,"Chinese, n.o.s.",38580,30430,500,1895,5755
Canada,1,Total - Sex,"Chinese languages, n.i.e.",615,435,5,40,130
Canada,1,Total - Sex,Tibeto-Burman languages,15855,13240,50,320,2250
Canada,1,Total - Sex,Burmese,3585,3205,5,70,300
Canada,1,Total - Sex,Karenic languages,4705,3555,20,20,1115
Canada,1,Total - Sex,Tibetan,6165,5315,10,175,660
Canada,1,Total - Sex,"Tibeto-Burman languages, n.i.e.",1400,1165,15,50,170
Canada,1,Total - Sex,Tai-Kadai languages,22010,15495,1690,3125,1700
Canada,1,Total - Sex,Lao,12670,7525,1590,2545,1010
Canada,1,Total - Sex,Thai,9255,7905,100,580,675
Canada,1,Total - Sex,"Tai-Kadai languages, n.i.e",80,65,0,0,20
Canada,1,Total - Sex,Turkic languages,40140,28885,2425,5605,3220
Canada,1,Total - Sex,Azerbaijani,3255,2600,30,345,280
Canada,1,Total - Sex,Turkish,32815,23130,2275,4800,2610
Canada,1,Total - Sex,Uyghur,1040,775,35,125,95
Canada,1,Total - Sex,Uzbek,1715,1360,30,180,145
Canada,1,Total - Sex,"Turkic languages, n.i.e.",1315,1020,50,150,95
Canada,1,Total - Sex,Uralic languages,81985,69985,500,9040,2460
Canada,1,Total - Sex,Estonian,5445,4630,0,775,40
Canada,1,Total - Sex,Finnish,15295,14115,15,1000,170
Canada,1,Total - Sex,Hungarian,61240,51235,485,7265,2250
Canada,1,Total - Sex,"Uralic languages, n.i.e.",10,5,0,0,0
Canada,1,Total - Sex,"Other languages, n.i.e.",3690,2630,310,575,175
Canada,1,Total - Sex,Multiple responses,818635,507415,42955,264470,3795
Canada,1,Total - Sex,English and French,165325,17115,4360,143745,105
Canada,1,Total - Sex,English and non-official language,533260,483325,435,46560,2950
Canada,1,Total - Sex,French and non-official language,86150,3595,37250,44720,590
Canada,1,Total - Sex,"English, French and non-official language",33900,3385,910,29450,155
Canada,1,Male,Total - Mother tongue,17101170,11838075,1925845,3071325,265925
Canada,1,Male,Single responses,16702840,11589825,1906015,2942935,264060
Canada,1,Male,Official languages,13201615,8893210,1781985,2521960,4460
Canada,1,Male,English,9680125,8873125,2220,800945,3830
Canada,1,Male,French,3521490,20085,1779760,1721015,630
Canada,1,Male,Non-official languages,3501220,2696615,124035,420975,259600
Canada,1,Male,Aboriginal languages,94800,79800,6735,4650,3615
Canada,1,Male,Algonquian languages,62935,51795,6505,3205,1430
