Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
New Brunswick,13,Total - Sex,Mandarin,2255,1835,5,95,315
New Brunswick,13,Total - Sex,Min Dong,0,0,0,0,0
New Brunswick,13,Total - Sex,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",35,20,0,5,5
New Brunswick,13,Total - Sex,Wu (Shanghainese),100,80,0,10,10
New Brunswick,13,Total - Sex,"Chinese, n.o.s.",235,215,5,5,15
New Brunswick,13,Total - Sex,"Chinese languages, n.i.e.",10,5,0,5,0
New Brunswick,13,Total - Sex,Tibeto-Burman languages,30,25,0,0,0
New Brunswick,13,Total - Sex,Burmese,5,5,0,0,0
New Brunswick,13,Total - Sex,Karenic languages,25,25,0,0,0
New Brunswick,13,Total - Sex,Tibetan,0,0,0,0,0
New Brunswick,13,Total - Sex,"Tibeto-Burman languages, n.i.e.",0,5,0,0,0
New Brunswick,13,Total - Sex,Tai-Kadai languages,60,50,0,5,0
New Brunswick,13,Total - Sex,Lao,0,0,0,0,0
New Brunswick,13,Total - Sex,Thai,55,55,0,5,0
New Brunswick,13,Total - Sex,"Tai-Kadai languages, n.i.e",0,0,0,0,0
New Brunswick,13,Total - Sex,Turkic languages,100,75,5,15,10
New Brunswick,13,Total - Sex,Azerbaijani,5,5,0,0,0
New Brunswick,13,Total - Sex,Turkish,75,60,0,15,10
New Brunswick,13,Total - Sex,Uyghur,0,0,0,0,0
New Brunswick,13,Total - Sex,Uzbek,10,5,0,0,0
New Brunswick,13,Total - Sex,"Turkic languages, n.i.e.",10,5,0,0,0
New Brunswick,13,Total - Sex,Uralic languages,250,210,0,40,0
New Brunswick,13,Total - Sex,Estonian,15,15,0,5,0
New Brunswick,13,Total - Sex,Finnish,45,40,0,10,0
New Brunswick,13,Total - Sex,Hungarian,180,155,0,30,0
New Brunswick,13,Total - Sex,"Uralic languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Total - Sex,"Other languages, n.i.e.",25,15,0,5,0
New Brunswick,13,Total - Sex,Multiple responses,9290,1915,215,7145,25
New Brunswick,13,Total - Sex,English and French,7280,570,130,6580,0
New Brunswick,13,Total - Sex,English and non-official language,1535,1315,5,200,20
New Brunswick,13,Total - Sex,French and non-official language,335,15,75,240,5
New Brunswick,13,Total - Sex,"English, French and non-official language",145,15,0,125,0
New Brunswick,13,Male,Total - Detailed mother tongue,360440,210555,29955,118705,1220
New Brunswick,13,Male,Single responses,356000,209660,29845,115285,1205
New Brunswick,13,Male,Official languages,344280,200970,29625,113635,55
New Brunswick,13,Male,English,231590,200050,65,31430,50
New Brunswick,13,Male,French,112690,920,29555,82200,5
New Brunswick,13,Male,Non-official languages,11720,8690,220,1655,1155
New Brunswick,13,Male,Aboriginal languages,1035,995,0,35,5
New Brunswick,13,Male,Algonquian languages,1015,985,0,35,0
New Brunswick,13,Male,Blackfoot,0,0,0,0,0
New Brunswick,13,Male,Cree-Montagnais languages,5,0,0,0,0
New Brunswick,13,Male,Atikamekw,0,0,0,0,0
New Brunswick,13,Male,Montagnais (Innu),0,0,0,0,0
New Brunswick,13,Male,Moose Cree,0,0,0,0,0
New Brunswick,13,Male,Naskapi,0,0,0,0,0
New Brunswick,13,Male,Northern East Cree,0,0,0,0,0
New Brunswick,13,Male,Plains Cree,0,0,0,0,0
New Brunswick,13,Male,Southern East Cree,0,0,0,0,0
New Brunswick,13,Male,Swampy Cree,0,0,0,0,0
New Brunswick,13,Male,Woods Cree,5,0,0,0,0
New Brunswick,13,Male,"Cree, n.o.s.",5,0,0,0,0
New Brunswick,13,Male,Eastern Algonquian languages,1010,975,0,35,5
New Brunswick,13,Male,Malecite,125,120,0,0,0
New Brunswick,13,Male,Mi'kmaq,885,850,0,30,5
New Brunswick,13,Male,Ojibway-Potawatomi languages,5,0,0,0,0
New Brunswick,13,Male,Algonquin,0,0,0,0,0
New Brunswick,13,Male,Ojibway,5,5,0,0,0
New Brunswick,13,Male,Oji-Cree,0,0,0,0,0
New Brunswick,13,Male,Ottawa (Odawa),0,0,0,0,0
New Brunswick,13,Male,"Algonquian languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Athabaskan languages,0,0,0,0,0
New Brunswick,13,Male,Northern Athabaskan languages,0,0,0,0,0
New Brunswick,13,Male,Babine (Wetsuwet'en),0,0,0,0,0
New Brunswick,13,Male,Beaver,0,0,0,0,0
New Brunswick,13,Male,Carrier,0,0,0,0,0
New Brunswick,13,Male,Chilcotin,0,0,0,0,0
New Brunswick,13,Male,Dene,0,0,0,0,0
New Brunswick,13,Male,Dogrib (Tlicho),0,0,0,0,0
New Brunswick,13,Male,Gwich'in,0,0,0,0,0
New Brunswick,13,Male,Sarsi (Sarcee),0,0,0,0,0
New Brunswick,13,Male,Sekani,0,0,0,0,0
New Brunswick,13,Male,Slavey-Hare languages,0,0,0,0,0
New Brunswick,13,Male,North Slavey (Hare),0,0,0,0,0
New Brunswick,13,Male,South Slavey,0,0,0,0,0
New Brunswick,13,Male,"Slavey, n.o.s.",0,0,0,0,0
New Brunswick,13,Male,Tahltan languages,0,0,0,0,0
New Brunswick,13,Male,Kaska (Nahani),0,0,0,0,0
New Brunswick,13,Male,Tahltan,0,0,0,0,0
New Brunswick,13,Male,Tutchone languages,0,0,0,0,0
New Brunswick,13,Male,Northern Tutchone,0,0,0,0,0
New Brunswick,13,Male,Southern Tutchone,0,0,0,0,0
New Brunswick,13,Male,"Athabaskan languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Haida,0,0,0,0,0
New Brunswick,13,Male,Inuit languages,10,5,0,0,0
New Brunswick,13,Male,Inuinnaqtun (Inuvialuktun),0,0,0,0,0
New Brunswick,13,Male,Inuktitut,5,5,0,0,0
New Brunswick,13,Male,"Inuit languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Iroquoian languages,0,0,0,0,0
New Brunswick,13,Male,Cayuga,0,0,0,0,0
New Brunswick,13,Male,Mohawk,0,0,0,0,0
New Brunswick,13,Male,Oneida,0,0,0,0,0
New Brunswick,13,Male,"Iroquoian languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Kutenai,0,0,0,0,0
New Brunswick,13,Male,Michif,0,0,0,0,0
New Brunswick,13,Male,Salish languages,0,0,0,0,0
New Brunswick,13,Male,Comox,0,0,0,0,0
New Brunswick,13,Male,Halkomelem,0,0,0,0,0
New Brunswick,13,Male,Lillooet,0,0,0,0,0
New Brunswick,13,Male,Okanagan,0,0,0,0,0
New Brunswick,13,Male,Shuswap (Secwepemctsin),0,0,0,0,0
New Brunswick,13,Male,Squamish,0,0,0,0,0
New Brunswick,13,Male,Straits,0,0,0,0,0
New Brunswick,13,Male,Thompson (Ntlakapamux),0,0,0,0,0
New Brunswick,13,Male,"Salish languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Siouan languages,0,0,0,0,0
New Brunswick,13,Male,Dakota,0,0,0,0,0
New Brunswick,13,Male,Stoney,0,0,0,0,0
New Brunswick,13,Male,"Siouan languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Tlingit,0,0,0,0,0
New Brunswick,13,Male,Tsimshian languages,0,0,0,0,0
New Brunswick,13,Male,Gitxsan (Gitksan),0,0,0,0,0
New Brunswick,13,Male,Nisga'a,0,0,0,0,0
New Brunswick,13,Male,Tsimshian,0,0,0,0,0
New Brunswick,13,Male,Wakashan languages,0,0,0,0,0
New Brunswick,13,Male,Haisla,0,0,0,0,0
New Brunswick,13,Male,Heiltsuk,0,0,0,0,0
New Brunswick,13,Male,Kwakiutl (Kwak'wala),0,0,0,0,0
New Brunswick,13,Male,Nuu-chah-nulth (Nootka),0,0,0,0,0
New Brunswick,13,Male,"Wakashan languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,"Aboriginal languages, n.o.s.",0,0,0,0,0
New Brunswick,13,Male,Non-Aboriginal languages,10685,7695,220,1625,1150
New Brunswick,13,Male,Afro-Asiatic languages,1805,745,60,385,610
New Brunswick,13,Male,Berber languages,30,0,5,25,0
New Brunswick,13,Male,Kabyle,10,0,0,10,0
New Brunswick,13,Male,"Berber languages, n.i.e.",15,0,5,15,0
New Brunswick,13,Male,Cushitic languages,15,15,0,0,0
New Brunswick,13,Male,Bilen,0,0,0,0,0
New Brunswick,13,Male,Oromo,0,0,0,0,0
New Brunswick,13,Male,Somali,10,10,0,0,0
New Brunswick,13,Male,"Cushitic languages, n.i.e.",0,0,0,0,0
New Brunswick,13,Male,Semitic languages,1760,730,60,360,610
New Brunswick,13,Male,Amharic,35,25,0,5,0
New Brunswick,13,Male,Arabic,1615,610,55,345,610
New Brunswick,13,Male,Assyrian Neo-Aramaic,0,0,0,0,0
New Brunswick,13,Male,Chaldean Neo-Aramaic,0,0,0,0,0
New Brunswick,13,Male,Harari,0,0,0,0,0
New Brunswick,13,Male,Hebrew,90,80,0,10,0
New Brunswick,13,Male,Maltese,5,0,0,0,0
New Brunswick,13,Male,Tigrigna,10,10,0,0,0
New Brunswick,13,Male,"Semitic languages, n.i.e.",5,0,0,0,0
New Brunswick,13,Male,"Afro-Asiatic languages, n.i.e.",5,5,0,0,0
New Brunswick,13,Male,Austro-Asiatic languages,305,250,5,30,20
New Brunswick,13,Male,Khmer (Cambodian),5,5,0,0,0
New Brunswick,13,Male,Vietnamese,300,245,0,30,20
New Brunswick,13,Male,"Austro-Asiatic languages, n.i.e",0,0,0,0,0
New Brunswick,13,Male,Austronesian languages,505,480,5,15,10
New Brunswick,13,Male,Bikol,0,0,0,0,0
New Brunswick,13,Male,Cebuano,35,35,0,0,0
New Brunswick,13,Male,Fijian,0,0,0,0,0
New Brunswick,13,Male,Hiligaynon,5,5,0,0,0
New Brunswick,13,Male,Ilocano,15,15,0,0,0
New Brunswick,13,Male,Malagasy,5,0,0,5,0
New Brunswick,13,Male,Malay,20,15,0,0,0
