Geography,Geo Code,Sex (3),Detailed Mother,Total - Knowledge of official languages,English only,French only,English and French,Neither English nor French
Nova Scotia,12,Total - Sex,Wu (Shanghainese),50,40,0,0,5
Nova Scotia,12,Total - Sex,"Chinese, n.o.s.",650,600,0,5,40
Nova Scotia,12,Total - Sex,"Chinese languages, n.i.e.",15,10,0,0,5
Nova Scotia,12,Total - Sex,Tibeto-Burman languages,30,25,0,0,0
Nova Scotia,12,Total - Sex,Burmese,10,10,0,0,0
Nova Scotia,12,Total - Sex,Karenic languages,0,0,0,0,0
Nova Scotia,12,Total - Sex,Tibetan,5,5,0,0,0
Nova Scotia,12,Total - Sex,"Tibeto-Burman languages, n.i.e.",5,5,0,5,0
Nova Scotia,12,Total - Sex,Tai-Kadai languages,160,135,0,5,15
Nova Scotia,12,Total - Sex,Lao,10,5,0,0,0
Nova Scotia,12,Total - Sex,Thai,150,130,0,5,20
Nova Scotia,12,Total - Sex,"Tai-Kadai languages, n.i.e",0,0,0,0,0
Nova Scotia,12,Total - Sex,Turkic languages,440,390,0,30,20
Nova Scotia,12,Total - Sex,Azerbaijani,15,10,0,0,0
Nova Scotia,12,Total - Sex,Turkish,305,265,0,30,5
Nova Scotia,12,Total - Sex,Uyghur,5,5,0,0,0
Nova Scotia,12,Total - Sex,Uzbek,110,100,0,0,10
Nova Scotia,12,Total - Sex,"Turkic languages, n.i.e.",10,10,0,0,0
Nova Scotia,12,Total - Sex,Uralic languages,410,355,0,55,0
Nova Scotia,12,Total - Sex,Estonian,40,35,0,5,0
Nova Scotia,12,Total - Sex,Finnish,90,80,0,15,0
Nova Scotia,12,Total - Sex,Hungarian,280,240,0,35,0
Nova Scotia,12,Total - Sex,"Uralic languages, n.i.e.",0,0,0,0,0
Nova Scotia,12,Total - Sex,"Other languages, n.i.e.",25,20,0,5,0
Nova Scotia,12,Total - Sex,Multiple responses,8060,4530,25,3480,30
Nova Scotia,12,Total - Sex,English and French,3445,625,5,2815,0
Nova Scotia,12,Total - Sex,English and non-official language,4180,3795,0,350,25
Nova Scotia,12,Total - Sex,French and non-official language,225,50,15,155,0
Nova Scotia,12,Total - Sex,"English, French and non-official language",210,50,0,160,0
