Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Attikamek,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Blackfoot,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Cree,90,85,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Malecite,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Micmac,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Montagnais-Naskapi,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Ojibway,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Oji-Cree,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"        Algonquian languages, n.i.e.",10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Athapaskan languages,2605,2360,10,25,220
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Carrier,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Chilcotin,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Chipewyan,290,265,0,0,15
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Dene,20,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Dogrib,1015,885,0,0,125
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Kutchin-Gwich'in (Loucheux),105,105,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        North Slave (Hare),125,110,0,0,10
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        South Slave,1055,980,10,10,60
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Haida,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Iroquoian languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Mohawk,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Kutenai,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Salish languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Shuswap,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Thompson (Ntlakapamux),0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"        Salish languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Siouan languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Dakota/Sioux,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Tlingit,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Tsimshian languages,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Tsimshian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Gitksan,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Nishga,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Wakashan languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Nootka,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"        Wakashan languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Inuktitut (Eskimo),9365,7510,0,35,1820
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Aboriginal languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Romance languages,100,85,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Italian,50,45,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Portuguese,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Romanian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Spanish,30,20,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Romance languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Germanic languages,270,235,0,35,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      German,170,145,0,25,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Yiddish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Netherlandic languages,55,50,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Dutch,50,45,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Flemish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Frisian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Scandinavian languages,40,35,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Danish,25,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Icelandic,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Norwegian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,        Swedish,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Germanic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Celtic languages,10,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Gaelic languages,10,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Welsh,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Celtic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Slavic languages,185,175,0,15,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Bulgarian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Byelorussian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Croatian,10,15,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Czech,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Macedonian,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Polish,40,35,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Russian,10,10,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Serbian,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Serbo-Croatian,0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Slovak,15,20,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Slovenian,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Ukrainian,55,55,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Slavic languages, n.i.e.",10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Baltic languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Latvian (Lettish),0,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Lithuanian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Finno-Ugric languages,35,30,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Estonian,10,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Finnish,10,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Hungarian,25,20,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Greek,15,10,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Armenian,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Turkic languages,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Turkish,0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,"      Turkic languages, n.i.e.",0,0,0,0,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,    Semitic languages,65,55,0,10,0
Northwest Territories - Territoires du Nord-Ouest (00061)   00000,  Male,      Amharic,0,0,0,0,0
